customer_index,segment,churn_probability,persona,secondary_persona,priority,driver_1,driver_2,driver_3,recommended_actions
19669,Low,0.9412,Price Sensitive Shopper,Frustrated Customer,Minimal,Cart_Abandonment_Rate,Purchase_Frequency,Customer_Service_Calls,Sale Notification
43500,Low,0.6921,Disengaged Customer,Price Sensitive Shopper,Minimal,Cart_Abandonment_Rate,Email_Open_Rate,Customer_Service_Calls,Newsletter
13957,High,0.9658,Frustrated Customer,Price Sensitive Shopper,Medium,Customer_Service_Calls,Discount_Usage_Rate,LTV_Per_Purchase,Service Recovery Campaign
39349,IMP,0.9912,Frustrated Customer,Price Sensitive Shopper,High,Customer_Service_Calls,Discount_Usage_Rate,Total_Purchases,Priority Support | Service Recovery Campaign
26616,Low,0.8542,Price Sensitive Shopper,Frustrated Customer,Minimal,Age,Discount_Usage_Rate,Customer_Service_Calls,Sale Notification
43888,IMP,0.9887,Frustrated Customer,Price Sensitive Shopper,High,Customer_Service_Calls,Returns_Rate,Discount_Usage_Rate,Priority Support | Service Recovery Campaign
9334,Low,0.9347,Disengaged Customer,Price Sensitive Shopper,Minimal,Cart_Abandonment_Rate,Email_Open_Rate,Pages_Per_Session,Newsletter
26613,High,0.9947,Frustrated Customer,Disengaged Customer,Medium,Customer_Service_Calls,Returns_Rate,LTV_Per_Purchase,Service Recovery Campaign
25667,Low,0.7547,Dormant Customer,Disengaged Customer,Minimal,Purchase_Frequency,Days_Since_Last_Purchase,Customer_Service_Calls,Newsletter Reminder
10131,Low,0.9504,Frustrated Customer,Disengaged Customer,Minimal,Purchase_Frequency,Customer_Service_Calls,Pages_Per_Session,Feedback Request
16218,Low,0.9506,Price Sensitive Shopper,Disengaged Customer,Minimal,Cart_Abandonment_Rate,Email_Open_Rate,Customer_Service_Calls,Sale Notification
6312,Low,0.9965,Dormant Customer,Price Sensitive Shopper,Minimal,Purchase_Frequency,Returns_Rate,Days_Since_Last_Purchase,Newsletter Reminder
17208,Medium,0.9845,Disengaged Customer,Price Sensitive Shopper,Low,Cart_Abandonment_Rate,Email_Open_Rate,Customer_Service_Calls,Re-engagement Email
8301,Medium,0.7391,Frustrated Customer,Disengaged Customer,Low,Cart_Abandonment_Rate,Customer_Service_Calls,Pages_Per_Session,Customer Feedback Survey
204,Medium,0.5697,Frustrated Customer,Disengaged Customer,Low,Cart_Abandonment_Rate,Customer_Service_Calls,Email_Open_Rate,Customer Feedback Survey
757,High,0.9908,Frustrated Customer,Price Sensitive Shopper,Medium,Customer_Service_Calls,Total_Purchases,LTV_Per_Purchase,Service Recovery Campaign
26965,High,0.9901,Frustrated Customer,Price Sensitive Shopper,Medium,Customer_Service_Calls,Discount_Usage_Rate,Average_Order_Value,Service Recovery Campaign
38892,High,0.9779,Frustrated Customer,Disengaged Customer,Medium,Customer_Service_Calls,Cart_Abandonment_Rate,Email_Open_Rate,Service Recovery Campaign
10149,IMP,0.9869,Frustrated Customer,Disengaged Customer,High,Customer_Service_Calls,Email_Open_Rate,LTV_Per_Purchase,Priority Support | Service Recovery Campaign
3944,Low,0.5624,Price Sensitive Shopper,Disengaged Customer,Minimal,Cart_Abandonment_Rate,Email_Open_Rate,Product_Reviews_Written,Sale Notification
10488,IMP,0.9856,Frustrated Customer,Price Sensitive Shopper,High,Customer_Service_Calls,Discount_Usage_Rate,LTV_Per_Purchase,Priority Support | Service Recovery Campaign
17966,Low,0.6349,Dormant Customer,Disengaged Customer,Minimal,Purchase_Frequency,Days_Since_Last_Purchase,Login_Frequency,Newsletter Reminder
48141,Low,0.9317,Price Sensitive Shopper,Disengaged Customer,Minimal,Cart_Abandonment_Rate,Email_Open_Rate,Purchase_Frequency,Sale Notification
45287,Low,0.8244,Price Sensitive Shopper,Disengaged Customer,Minimal,Cart_Abandonment_Rate,Customer_Service_Calls,Login_Frequency,Sale Notification
31238,High,0.9912,Frustrated Customer,Price Sensitive Shopper,Medium,Customer_Service_Calls,LTV_Per_Purchase,Average_Order_Value,Service Recovery Campaign
49008,Low,0.9407,Price Sensitive Shopper,Frustrated Customer,Minimal,Purchase_Frequency,Cart_Abandonment_Rate,Customer_Service_Calls,Sale Notification
45830,Low,0.6413,Frustrated Customer,Price Sensitive Shopper,Minimal,Cart_Abandonment_Rate,Returns_Rate,Customer_Service_Calls,Feedback Request
20813,High,0.9911,Frustrated Customer,Dormant Customer,Medium,Customer_Service_Calls,Total_Purchases,LTV_Per_Purchase,Service Recovery Campaign
5014,Low,0.9285,Price Sensitive Shopper,Disengaged Customer,Minimal,Cart_Abandonment_Rate,Purchase_Frequency,Customer_Service_Calls,Sale Notification
6748,Low,0.8551,Disengaged Customer,Frustrated Customer,Minimal,Email_Open_Rate,Customer_Service_Calls,Session_Duration_Avg,Newsletter
19398,Medium,0.9831,Price Sensitive Shopper,Dormant Customer,Low,Age,Discount_Usage_Rate,Total_Purchases,Promotional Campaign
27223,Low,0.9806,Disengaged Customer,Price Sensitive Shopper,Minimal,Cart_Abandonment_Rate,Email_Open_Rate,Customer_Service_Calls,Newsletter
6980,Medium,0.9632,Price Sensitive Shopper,Disengaged Customer,Low,Age,Discount_Usage_Rate,Cart_Abandonment_Rate,Promotional Campaign
19047,Low,0.7705,Disengaged Customer,Price Sensitive Shopper,Minimal,Cart_Abandonment_Rate,Email_Open_Rate,Customer_Service_Calls,Newsletter
6399,Medium,0.741,Disengaged Customer,Frustrated Customer,Low,Customer_Service_Calls,Session_Duration_Avg,Age,Re-engagement Email
2640,Low,0.993,Frustrated Customer,Disengaged Customer,Minimal,Cart_Abandonment_Rate,Purchase_Frequency,Returns_Rate,Feedback Request
16997,Medium,0.4221,Disengaged Customer,Dormant Customer,Low,Email_Open_Rate,Cart_Abandonment_Rate,Days_Since_Last_Purchase,Re-engagement Email
12068,Low,0.8718,Frustrated Customer,Disengaged Customer,Minimal,Returns_Rate,Email_Open_Rate,Customer_Service_Calls,Feedback Request
26811,Medium,0.9895,Price Sensitive Shopper,Disengaged Customer,Low,Age,Discount_Usage_Rate,Total_Purchases,Promotional Campaign
4708,Low,0.9236,Disengaged Customer,Frustrated Customer,Minimal,Customer_Service_Calls,Email_Open_Rate,Cart_Abandonment_Rate,Newsletter
1762,Low,0.9,Price Sensitive Shopper,Disengaged Customer,Minimal,Purchase_Frequency,Cart_Abandonment_Rate,Wishlist_Items,Sale Notification
36309,High,0.739,Frustrated Customer,Dormant Customer,Medium,Customer_Service_Calls,Age,Total_Purchases,Service Recovery Campaign
42344,Low,0.8299,Frustrated Customer,Price Sensitive Shopper,Minimal,Cart_Abandonment_Rate,Customer_Service_Calls,Mobile_App_Usage,Feedback Request
26916,IMP,0.988,Frustrated Customer,Price Sensitive Shopper,High,Customer_Service_Calls,LTV_Per_Purchase,Average_Order_Value,Priority Support | Service Recovery Campaign
39468,High,0.8302,Frustrated Customer,Dormant Customer,Medium,Customer_Service_Calls,Total_Purchases,Credit_Balance,Service Recovery Campaign
5411,Low,0.9532,Disengaged Customer,Dormant Customer,Minimal,Purchase_Frequency,Days_Since_Last_Purchase,Email_Open_Rate,Newsletter
5863,High,0.9999,Frustrated Customer,Price Sensitive Shopper,Medium,Age,Discount_Usage_Rate,Customer_Service_Calls,Service Recovery Campaign
19812,High,0.9915,Frustrated Customer,Dormant Customer,Medium,Customer_Service_Calls,Returns_Rate,Total_Purchases,Service Recovery Campaign
38043,Medium,0.4009,Frustrated Customer,Price Sensitive Shopper,Low,Cart_Abandonment_Rate,Customer_Service_Calls,Age,Customer Feedback Survey
15354,IMP,0.9947,Frustrated Customer,Price Sensitive Shopper,High,Customer_Service_Calls,Returns_Rate,Average_Order_Value,Priority Support | Service Recovery Campaign
31541,IMP,0.9833,Frustrated Customer,Disengaged Customer,High,Customer_Service_Calls,Email_Open_Rate,Discount_Usage_Rate,Priority Support | Service Recovery Campaign
16538,High,0.9845,Price Sensitive Shopper,Dormant Customer,Medium,Age,Discount_Usage_Rate,Total_Purchases,Targeted Coupon
36528,Medium,0.7633,Frustrated Customer,Price Sensitive Shopper,Low,Cart_Abandonment_Rate,Email_Open_Rate,Customer_Service_Calls,Customer Feedback Survey
37221,High,0.9799,Frustrated Customer,Price Sensitive Shopper,Medium,Customer_Service_Calls,Cart_Abandonment_Rate,Returns_Rate,Service Recovery Campaign
33647,IMP,0.9921,Frustrated Customer,Disengaged Customer,High,Customer_Service_Calls,LTV_Per_Purchase,Average_Order_Value,Priority Support | Service Recovery Campaign
9576,Low,0.9928,Price Sensitive Shopper,Disengaged Customer,Minimal,Age,Discount_Usage_Rate,Cart_Abandonment_Rate,Sale Notification
47969,Low,0.7799,Disengaged Customer,Price Sensitive Shopper,Minimal,Purchase_Frequency,Email_Open_Rate,Cart_Abandonment_Rate,Newsletter
4673,Medium,0.8862,Disengaged Customer,Price Sensitive Shopper,Low,Cart_Abandonment_Rate,Customer_Service_Calls,Email_Open_Rate,Re-engagement Email
2234,IMP,0.9891,Price Sensitive Shopper,Disengaged Customer,High,Age,Discount_Usage_Rate,Total_Purchases,Loyalty Rewards | Targeted Coupon
48619,IMP,0.9913,Frustrated Customer,Dormant Customer,High,Customer_Service_Calls,Total_Purchases,Credit_Balance,Priority Support | Service Recovery Campaign
7438,Low,0.6514,Frustrated Customer,Disengaged Customer,Minimal,Age,Returns_Rate,Email_Open_Rate,Feedback Request
11533,Low,0.9794,Price Sensitive Shopper,Disengaged Customer,Minimal,Age,Discount_Usage_Rate,Flag_Missing,Sale Notification
36643,Medium,0.5267,Frustrated Customer,Price Sensitive Shopper,Low,Cart_Abandonment_Rate,Email_Open_Rate,Customer_Service_Calls,Customer Feedback Survey
21531,Low,0.9531,Disengaged Customer,Frustrated Customer,Minimal,Purchase_Frequency,Customer_Service_Calls,Email_Open_Rate,Newsletter
44011,High,0.9929,Frustrated Customer,Dormant Customer,Medium,Customer_Service_Calls,Total_Purchases,Average_Order_Value,Service Recovery Campaign
1121,Medium,0.7625,Disengaged Customer,Frustrated Customer,Low,Purchase_Frequency,Email_Open_Rate,Customer_Service_Calls,Re-engagement Email
3491,High,0.9955,Frustrated Customer,Disengaged Customer,Medium,Customer_Service_Calls,Returns_Rate,Email_Open_Rate,Service Recovery Campaign
32065,Medium,0.7524,Disengaged Customer,Price Sensitive Shopper,Low,Cart_Abandonment_Rate,Customer_Service_Calls,Engagement_Score,Re-engagement Email
18913,IMP,0.9935,Frustrated Customer,Price Sensitive Shopper,High,Customer_Service_Calls,Age,Total_Purchases,Priority Support | Service Recovery Campaign
39565,Low,0.6544,Price Sensitive Shopper,Frustrated Customer,Minimal,Cart_Abandonment_Rate,Email_Open_Rate,Age,Sale Notification
16953,High,0.982,Frustrated Customer,Price Sensitive Shopper,Medium,Customer_Service_Calls,Discount_Usage_Rate,Average_Order_Value,Service Recovery Campaign
29297,High,0.9834,Frustrated Customer,Price Sensitive Shopper,Medium,Customer_Service_Calls,Age,Returns_Rate,Service Recovery Campaign
43133,Medium,0.9856,Frustrated Customer,Price Sensitive Shopper,Low,Age,Discount_Usage_Rate,Customer_Service_Calls,Customer Feedback Survey
23850,Medium,0.9892,Price Sensitive Shopper,Frustrated Customer,Low,Age,Discount_Usage_Rate,Returns_Rate,Promotional Campaign
29592,Low,0.8921,Disengaged Customer,Price Sensitive Shopper,Minimal,Cart_Abandonment_Rate,Email_Open_Rate,Mobile_App_Usage,Newsletter
9275,Medium,0.9759,Price Sensitive Shopper,Frustrated Customer,Low,Age,Discount_Usage_Rate,Cart_Abandonment_Rate,Promotional Campaign
531,Medium,0.9794,Price Sensitive Shopper,Frustrated Customer,Low,Age,Discount_Usage_Rate,Customer_Service_Calls,Promotional Campaign
46057,Low,0.9783,Dormant Customer,Disengaged Customer,Minimal,Purchase_Frequency,Cart_Abandonment_Rate,Days_Since_Last_Purchase,Newsletter Reminder
7315,Medium,0.785,Price Sensitive Shopper,Disengaged Customer,Low,Cart_Abandonment_Rate,Age,Email_Open_Rate,Promotional Campaign
3186,High,0.9249,Frustrated Customer,Dormant Customer,Medium,Customer_Service_Calls,Age,LTV_Per_Purchase,Service Recovery Campaign
12145,Low,0.7356,Disengaged Customer,Price Sensitive Shopper,Minimal,Cart_Abandonment_Rate,Mobile_App_Usage,Login_Frequency,Newsletter
48595,IMP,0.9927,Frustrated Customer,Dormant Customer,High,Customer_Service_Calls,Session_Duration_Avg,Login_Frequency,Priority Support | Service Recovery Campaign
6246,Low,0.8883,Disengaged Customer,Frustrated Customer,Minimal,Email_Open_Rate,Cart_Abandonment_Rate,Returns_Rate,Newsletter
4115,Low,0.9046,Price Sensitive Shopper,Disengaged Customer,Minimal,Cart_Abandonment_Rate,Email_Open_Rate,Wishlist_Items,Sale Notification
49727,Low,0.9842,Dormant Customer,Disengaged Customer,Minimal,Purchase_Frequency,Days_Since_Last_Purchase,Customer_Service_Calls,Newsletter Reminder
11186,Low,0.6688,Price Sensitive Shopper,Disengaged Customer,Minimal,Cart_Abandonment_Rate,Email_Open_Rate,Pages_Per_Session,Sale Notification
30875,High,0.9904,Frustrated Customer,Disengaged Customer,Medium,Customer_Service_Calls,Email_Open_Rate,Cart_Abandonment_Rate,Service Recovery Campaign
47667,Low,0.8582,Disengaged Customer,Frustrated Customer,Minimal,Customer_Service_Calls,Email_Open_Rate,Cart_Abandonment_Rate,Newsletter
41802,Low,0.8454,Price Sensitive Shopper,Disengaged Customer,Minimal,Purchase_Frequency,Cart_Abandonment_Rate,Email_Open_Rate,Sale Notification
15658,Medium,0.6172,Disengaged Customer,Price Sensitive Shopper,Low,Cart_Abandonment_Rate,Email_Open_Rate,Mobile_App_Usage,Re-engagement Email
39101,Medium,0.6557,Frustrated Customer,Price Sensitive Shopper,Low,Customer_Service_Calls,Cart_Abandonment_Rate,Social_Media_Engagement_Score,Customer Feedback Survey
30264,Low,0.8967,Price Sensitive Shopper,Disengaged Customer,Minimal,Cart_Abandonment_Rate,Purchase_Frequency,Customer_Service_Calls,Sale Notification
41092,Medium,0.9638,Price Sensitive Shopper,Disengaged Customer,Low,Cart_Abandonment_Rate,Customer_Service_Calls,Purchase_Frequency,Promotional Campaign
7298,Medium,0.9742,Disengaged Customer,Frustrated Customer,Low,Email_Open_Rate,Purchase_Frequency,Returns_Rate,Re-engagement Email
14159,Low,0.9234,Price Sensitive Shopper,Frustrated Customer,Minimal,Cart_Abandonment_Rate,Email_Open_Rate,Purchase_Frequency,Sale Notification
2994,High,0.9515,Frustrated Customer,Dormant Customer,Medium,Customer_Service_Calls,Credit_Balance,Returns_Rate,Service Recovery Campaign
16958,High,0.9989,Frustrated Customer,Dormant Customer,Medium,Customer_Service_Calls,Days_Since_Last_Purchase,Cart_Abandonment_Rate,Service Recovery Campaign
22107,Medium,0.9727,Price Sensitive Shopper,Frustrated Customer,Low,Age,Discount_Usage_Rate,Flag_Missing,Promotional Campaign
789,Medium,0.9542,Price Sensitive Shopper,Disengaged Customer,Low,Age,Discount_Usage_Rate,Membership_Years,Promotional Campaign
22489,Medium,0.9566,Disengaged Customer,Dormant Customer,Low,Purchase_Frequency,Days_Since_Last_Purchase,Email_Open_Rate,Re-engagement Email
3663,Low,0.9671,Price Sensitive Shopper,Disengaged Customer,Minimal,Cart_Abandonment_Rate,Email_Open_Rate,Pages_Per_Session,Sale Notification
17430,Medium,0.9893,Dormant Customer,Disengaged Customer,Low,Days_Since_Last_Purchase,Purchase_Frequency,Customer_Service_Calls,Automated Re-engagement Email
36063,IMP,0.9888,Frustrated Customer,Price Sensitive Shopper,High,Customer_Service_Calls,LTV_Per_Purchase,Total_Purchases,Priority Support | Service Recovery Campaign
44091,Low,0.7014,Price Sensitive Shopper,Disengaged Customer,Minimal,Cart_Abandonment_Rate,Wishlist_Items,Mobile_App_Usage,Sale Notification
4194,Low,0.6859,Frustrated Customer,Price Sensitive Shopper,Minimal,Age,Returns_Rate,Cart_Abandonment_Rate,Feedback Request
48472,High,0.9837,Frustrated Customer,Price Sensitive Shopper,Medium,Customer_Service_Calls,LTV_Per_Purchase,Returns_Rate,Service Recovery Campaign
4901,High,0.9902,Frustrated Customer,Price Sensitive Shopper,Medium,Customer_Service_Calls,Returns_Rate,Discount_Usage_Rate,Service Recovery Campaign
34432,High,0.9902,Frustrated Customer,Price Sensitive Shopper,Medium,Customer_Service_Calls,Discount_Usage_Rate,LTV_Per_Purchase,Service Recovery Campaign
34386,Low,0.9737,Disengaged Customer,Price Sensitive Shopper,Minimal,Cart_Abandonment_Rate,Purchase_Frequency,Email_Open_Rate,Newsletter
9597,Low,0.5573,Frustrated Customer,Price Sensitive Shopper,Minimal,Cart_Abandonment_Rate,Customer_Service_Calls,Email_Open_Rate,Feedback Request
18164,Low,0.9928,Price Sensitive Shopper,Frustrated Customer,Minimal,Age,Discount_Usage_Rate,Cart_Abandonment_Rate,Sale Notification
795,Low,0.6646,Price Sensitive Shopper,Disengaged Customer,Minimal,Cart_Abandonment_Rate,Email_Open_Rate,Product_Reviews_Written,Sale Notification
40156,High,0.9922,Frustrated Customer,Disengaged Customer,Medium,Customer_Service_Calls,Total_Purchases,Returns_Rate,Service Recovery Campaign
44188,Medium,0.872,Frustrated Customer,Price Sensitive Shopper,Low,Cart_Abandonment_Rate,Customer_Service_Calls,Session_Duration_Avg,Customer Feedback Survey
49322,Low,0.6742,Price Sensitive Shopper,Disengaged Customer,Minimal,Cart_Abandonment_Rate,Mobile_App_Usage,Login_Frequency,Sale Notification
49644,High,0.9865,Frustrated Customer,Disengaged Customer,Medium,Customer_Service_Calls,Total_Purchases,LTV_Per_Purchase,Service Recovery Campaign
14564,Low,0.9184,Disengaged Customer,Frustrated Customer,Minimal,Customer_Service_Calls,Cart_Abandonment_Rate,Email_Open_Rate,Newsletter
13003,Low,0.9377,Disengaged Customer,Dormant Customer,Minimal,Purchase_Frequency,Email_Open_Rate,Days_Since_Last_Purchase,Newsletter
32345,High,0.9887,Price Sensitive Shopper,Dormant Customer,Medium,Age,Discount_Usage_Rate,Total_Purchases,Targeted Coupon
32916,Medium,0.9984,Disengaged Customer,Dormant Customer,Low,Purchase_Frequency,Days_Since_Last_Purchase,Email_Open_Rate,Re-engagement Email
11608,Medium,0.9653,Price Sensitive Shopper,Frustrated Customer,Low,Age,Discount_Usage_Rate,Customer_Service_Calls,Promotional Campaign
28580,Low,0.7558,Frustrated Customer,Disengaged Customer,Minimal,Customer_Service_Calls,Email_Open_Rate,Cart_Abandonment_Rate,Feedback Request
32280,IMP,0.9881,Frustrated Customer,Price Sensitive Shopper,High,Customer_Service_Calls,Returns_Rate,Discount_Usage_Rate,Priority Support | Service Recovery Campaign
5497,Low,0.8002,Price Sensitive Shopper,Frustrated Customer,Minimal,Customer_Service_Calls,Email_Open_Rate,Cart_Abandonment_Rate,Sale Notification
814,Low,0.9405,Disengaged Customer,Dormant Customer,Minimal,Purchase_Frequency,Customer_Service_Calls,Email_Open_Rate,Newsletter
47376,High,0.9857,Frustrated Customer,Dormant Customer,Medium,Customer_Service_Calls,Total_Purchases,Credit_Balance,Service Recovery Campaign
7096,IMP,0.9919,Frustrated Customer,Price Sensitive Shopper,High,Customer_Service_Calls,Discount_Usage_Rate,Total_Purchases,Priority Support | Service Recovery Campaign
10259,Low,0.6248,Frustrated Customer,Disengaged Customer,Minimal,Returns_Rate,Cart_Abandonment_Rate,Customer_Service_Calls,Feedback Request
22448,High,0.9903,Frustrated Customer,Disengaged Customer,Medium,Customer_Service_Calls,Total_Purchases,Days_Since_Last_Purchase,Service Recovery Campaign
48469,High,0.9927,Frustrated Customer,Price Sensitive Shopper,Medium,Customer_Service_Calls,Total_Purchases,Average_Order_Value,Service Recovery Campaign
37826,High,0.9913,Frustrated Customer,Disengaged Customer,Medium,Customer_Service_Calls,Total_Purchases,LTV_Per_Purchase,Service Recovery Campaign
802,Low,0.6602,Frustrated Customer,Price Sensitive Shopper,Minimal,Customer_Service_Calls,Cart_Abandonment_Rate,Purchase_Frequency,Feedback Request
6325,Low,0.5795,Disengaged Customer,Frustrated Customer,Minimal,Email_Open_Rate,Age,Pages_Per_Session,Newsletter
49465,High,0.9664,Frustrated Customer,Price Sensitive Shopper,Medium,Customer_Service_Calls,Age,LTV_Per_Purchase,Service Recovery Campaign
5577,Medium,0.8081,Frustrated Customer,Price Sensitive Shopper,Low,Cart_Abandonment_Rate,Customer_Service_Calls,Pages_Per_Session,Customer Feedback Survey
46832,High,0.9913,Frustrated Customer,Dormant Customer,Medium,Customer_Service_Calls,Days_Since_Last_Purchase,Total_Purchases,Service Recovery Campaign
47742,Medium,0.9962,Disengaged Customer,Dormant Customer,Low,Age,Purchase_Frequency,Days_Since_Last_Purchase,Re-engagement Email
25017,Medium,0.9874,Price Sensitive Shopper,Dormant Customer,Low,Age,Discount_Usage_Rate,Returns_Rate,Promotional Campaign
49275,Low,0.9474,Disengaged Customer,Price Sensitive Shopper,Minimal,Cart_Abandonment_Rate,Email_Open_Rate,Returns_Rate,Newsletter
26773,Low,0.9661,Disengaged Customer,Price Sensitive Shopper,Minimal,Cart_Abandonment_Rate,Email_Open_Rate,Session_Duration_Avg,Newsletter
